====================     2021-02-26    ====================8ff694f  Update android binder + ashmem + lowmemorykiller  [kimocoder]
73d2bed  Merge changes  [kimocoder]
4d6a4c7  Revert "block/loop: Use global lock for ioctl() operation."  [Greg Kroah-Hartman]
3617223  netfilter: ebtables: CONFIG_COMPAT: drop a bogus WARN_ON  [Florian Westphal]
5dba33c  NFS: Forbid setting AF_INET6 to "struct sockaddr_in"->sin_family.  [Tetsuo Handa]
92289d8  fs/proc/proc_sysctl.c: Fix a NULL pointer dereference  [YueHaibing]
9755610  slip: make slhc_free() silently accept an error pointer  [Linus Torvalds]
5e011cc  sunrpc: don't mark uninitialised items as VALID.  [NeilBrown]
8d11f3d  ceph: ensure d_name stability in ceph_dentry_hash()  [Jeff Layton]
79567dc  sched/numa: Fix a possible divide-by-zero  [Xie XiuQi]
5d24bd1  trace: Fix preempt_enable_no_resched() abuse  [Peter Zijlstra]
f50324b  MIPS: scall64-o32: Fix indirect syscall number load  [Aurelien Jarno]
bbc9e10  Linux 3.18.139  [Greg Kroah-Hartman]
b134ba1  kernel/sysctl.c: fix out-of-bounds access when setting file-max  [Will Deacon]
d3d4fc0  arm64: futex: Restore oldval initialization to work around buggy compilers  [Nathan Chancellor]
a856365  device_cgroup: fix RCU imbalance in error case  [Jann Horn]
64148af  sched/fair: Limit sched_cfs_period_timer() loop to avoid hard lockup  [Phil Auld]
9352a06  kprobes: Fix error check when reusing optimized probes  [Masami Hiramatsu]
1e2bbfb  x86/kprobes: Verify stack frame on kretprobe  [Masami Hiramatsu]
c9f9296  ALSA: core: Fix card races between register and disconnect  [Takashi Iwai]
67d4ab3  staging: comedi: ni_usb6501: Fix possible double-free of ->usb_rx_buf  [Ian Abbott]
28f249d  staging: comedi: vmk80xx: Fix possible double-free of ->usb_rx_buf  [Ian Abbott]
bb5058e  staging: comedi: vmk80xx: Fix use of uninitialized semaphore  [Ian Abbott]
318d36e  iio: adc: at91: disable adc channel interrupt in timeout case  [Georg Ottinger]
3153f96  iio: ad_sigma_delta: select channel when reading register  [Dragos Bogdan]
26bd8bb  tcp: tcp_grow_window() needs to respect tcp_space()  [Eric Dumazet]
05ddde5  ipv4: ensure rcu_read_lock() in ipv4_link_failure()  [Eric Dumazet]
acab8c2  ipv4: recompile ip options in ipv4_link_failure  [Stephen Suryaputra]
7218601  net: bridge: multicast: use rcu to access port list from br_multicast_start_querier  [Nikolay Aleksandrov]
